unicode,unicode padded,unicodevalue
0x20,u+0020,0020
0x21,u+0021,0021
0x22,u+0022,0022
0x23,u+0023,0023
0x24,u+0024,0024
0x25,u+0025,0025
0x26,u+0026,0026
0x27,u+0027,0027
0x28,u+0028,0028
0x29,u+0029,0029
0x2a,u+002a,002a
0x2b,u+002b,002b
0x2c,u+002c,002c
0x2d,u+002d,002d
0x2e,u+002e,002e
0x2f,u+002f,002f
0x30,u+0030,0030
0x31,u+0031,0031
0x32,u+0032,0032
0x33,u+0033,0033
0x34,u+0034,0034
0x35,u+0035,0035
0x36,u+0036,0036
0x37,u+0037,0037
0x38,u+0038,0038
0x39,u+0039,0039
0x3a,u+003a,003a
0x3b,u+003b,003b
0x3c,u+003c,003c
0x3d,u+003d,003d
0x3e,u+003e,003e
0x3f,u+003f,003f
0x40,u+0040,0040
0x41,u+0041,0041
0x42,u+0042,0042
0x43,u+0043,0043
0x44,u+0044,0044
0x45,u+0045,0045
0x46,u+0046,0046
0x47,u+0047,0047
0x48,u+0048,0048
0x49,u+0049,0049
0x4a,u+004a,004a
0x4b,u+004b,004b
0x4c,u+004c,004c
0x4d,u+004d,004d
0x4e,u+004e,004e
0x4f,u+004f,004f
0x50,u+0050,0050
0x51,u+0051,0051
0x52,u+0052,0052
0x53,u+0053,0053
0x54,u+0054,0054
0x55,u+0055,0055
0x56,u+0056,0056
0x57,u+0057,0057
0x58,u+0058,0058
0x59,u+0059,0059
0x5a,u+005a,005a
0x5b,u+005b,005b
0x5c,u+005c,005c
0x5d,u+005d,005d
0x5e,u+005e,005e
0x5f,u+005f,005f
0x60,u+0060,0060
0x61,u+0061,0061
0x62,u+0062,0062
0x63,u+0063,0063
0x64,u+0064,0064
0x65,u+0065,0065
0x66,u+0066,0066
0x67,u+0067,0067
0x68,u+0068,0068
0x69,u+0069,0069
0x6a,u+006a,006a
0x6b,u+006b,006b
0x6c,u+006c,006c
0x6d,u+006d,006d
0x6e,u+006e,006e
0x6f,u+006f,006f
0x70,u+0070,0070
0x71,u+0071,0071
0x72,u+0072,0072
0x73,u+0073,0073
0x74,u+0074,0074
0x75,u+0075,0075
0x76,u+0076,0076
0x77,u+0077,0077
0x78,u+0078,0078
0x79,u+0079,0079
0x7a,u+007a,007a
0x7b,u+007b,007b
0x7c,u+007c,007c
0x7d,u+007d,007d
0x7e,u+007e,007e
0xa0,u+00a0,00a0
0xa1,u+00a1,00a1
0xa2,u+00a2,00a2
0xa3,u+00a3,00a3
0xa4,u+00a4,00a4
0xa5,u+00a5,00a5
0xa6,u+00a6,00a6
0xa7,u+00a7,00a7
0xa8,u+00a8,00a8
0xa9,u+00a9,00a9
0xaa,u+00aa,00aa
0xab,u+00ab,00ab
0xac,u+00ac,00ac
0xad,u+00ad,00ad
0xae,u+00ae,00ae
0xaf,u+00af,00af
0xb0,u+00b0,00b0
0xb1,u+00b1,00b1
0xb2,u+00b2,00b2
0xb3,u+00b3,00b3
0xb4,u+00b4,00b4
0xb5,u+00b5,00b5
0xb6,u+00b6,00b6
0xb7,u+00b7,00b7
0xb8,u+00b8,00b8
0xb9,u+00b9,00b9
0xba,u+00ba,00ba
0xbb,u+00bb,00bb
0xbc,u+00bc,00bc
0xbd,u+00bd,00bd
0xbe,u+00be,00be
0xbf,u+00bf,00bf
0xc0,u+00c0,00c0
0xc1,u+00c1,00c1
0xc2,u+00c2,00c2
0xc3,u+00c3,00c3
0xc4,u+00c4,00c4
0xc5,u+00c5,00c5
0xc6,u+00c6,00c6
0xc7,u+00c7,00c7
0xc8,u+00c8,00c8
0xc9,u+00c9,00c9
0xca,u+00ca,00ca
0xcb,u+00cb,00cb
0xcc,u+00cc,00cc
0xcd,u+00cd,00cd
0xce,u+00ce,00ce
0xcf,u+00cf,00cf
0xd0,u+00d0,00d0
0xd1,u+00d1,00d1
0xd2,u+00d2,00d2
0xd3,u+00d3,00d3
0xd4,u+00d4,00d4
0xd5,u+00d5,00d5
0xd6,u+00d6,00d6
0xd7,u+00d7,00d7
0xd8,u+00d8,00d8
0xd9,u+00d9,00d9
0xda,u+00da,00da
0xdb,u+00db,00db
0xdc,u+00dc,00dc
0xdd,u+00dd,00dd
0xde,u+00de,00de
0xdf,u+00df,00df
0xe0,u+00e0,00e0
0xe1,u+00e1,00e1
0xe2,u+00e2,00e2
0xe3,u+00e3,00e3
0xe4,u+00e4,00e4
0xe5,u+00e5,00e5
0xe6,u+00e6,00e6
0xe7,u+00e7,00e7
0xe8,u+00e8,00e8
0xe9,u+00e9,00e9
0xea,u+00ea,00ea
0xeb,u+00eb,00eb
0xec,u+00ec,00ec
0xed,u+00ed,00ed
0xee,u+00ee,00ee
0xef,u+00ef,00ef
0xf0,u+00f0,00f0
0xf1,u+00f1,00f1
0xf2,u+00f2,00f2
0xf3,u+00f3,00f3
0xf4,u+00f4,00f4
0xf5,u+00f5,00f5
0xf6,u+00f6,00f6
0xf7,u+00f7,00f7
0xf8,u+00f8,00f8
0xf9,u+00f9,00f9
0xfa,u+00fa,00fa
0xfb,u+00fb,00fb
0xfc,u+00fc,00fc
0xfd,u+00fd,00fd
0xfe,u+00fe,00fe
0xff,u+00ff,00ff
0x100,u+0100,0100
0x101,u+0101,0101
0x102,u+0102,0102
0x103,u+0103,0103
0x104,u+0104,0104
0x105,u+0105,0105
0x106,u+0106,0106
0x107,u+0107,0107
0x108,u+0108,0108
0x109,u+0109,0109
0x10a,u+010a,010a
0x10b,u+010b,010b
0x10c,u+010c,010c
0x10d,u+010d,010d
0x10e,u+010e,010e
0x10f,u+010f,010f
0x110,u+0110,0110
0x111,u+0111,0111
0x112,u+0112,0112
0x113,u+0113,0113
0x114,u+0114,0114
0x115,u+0115,0115
0x116,u+0116,0116
0x117,u+0117,0117
0x118,u+0118,0118
0x119,u+0119,0119
0x11a,u+011a,011a
0x11b,u+011b,011b
0x11c,u+011c,011c
0x11d,u+011d,011d
0x11e,u+011e,011e
0x11f,u+011f,011f
0x120,u+0120,0120
0x121,u+0121,0121
0x122,u+0122,0122
0x123,u+0123,0123
0x124,u+0124,0124
0x125,u+0125,0125
0x126,u+0126,0126
0x127,u+0127,0127
0x128,u+0128,0128
0x129,u+0129,0129
0x12a,u+012a,012a
0x12b,u+012b,012b
0x12c,u+012c,012c
0x12d,u+012d,012d
0x12e,u+012e,012e
0x12f,u+012f,012f
0x130,u+0130,0130
0x131,u+0131,0131
0x132,u+0132,0132
0x133,u+0133,0133
0x134,u+0134,0134
0x135,u+0135,0135
0x136,u+0136,0136
0x137,u+0137,0137
0x138,u+0138,0138
0x139,u+0139,0139
0x13a,u+013a,013a
0x13b,u+013b,013b
0x13c,u+013c,013c
0x13d,u+013d,013d
0x13e,u+013e,013e
0x13f,u+013f,013f
0x140,u+0140,0140
0x141,u+0141,0141
0x142,u+0142,0142
0x143,u+0143,0143
0x144,u+0144,0144
0x145,u+0145,0145
0x146,u+0146,0146
0x147,u+0147,0147
0x148,u+0148,0148
0x149,u+0149,0149
0x14a,u+014a,014a
0x14b,u+014b,014b
0x14c,u+014c,014c
0x14d,u+014d,014d
0x14e,u+014e,014e
0x14f,u+014f,014f
0x150,u+0150,0150
0x151,u+0151,0151
0x152,u+0152,0152
0x153,u+0153,0153
0x154,u+0154,0154
0x155,u+0155,0155
0x156,u+0156,0156
0x157,u+0157,0157
0x158,u+0158,0158
0x159,u+0159,0159
0x15a,u+015a,015a
0x15b,u+015b,015b
0x15c,u+015c,015c
0x15d,u+015d,015d
0x15e,u+015e,015e
0x15f,u+015f,015f
0x160,u+0160,0160
0x161,u+0161,0161
0x162,u+0162,0162
0x163,u+0163,0163
0x164,u+0164,0164
0x165,u+0165,0165
0x166,u+0166,0166
0x167,u+0167,0167
0x168,u+0168,0168
0x169,u+0169,0169
0x16a,u+016a,016a
0x16b,u+016b,016b
0x16c,u+016c,016c
0x16d,u+016d,016d
0x16e,u+016e,016e
0x16f,u+016f,016f
0x170,u+0170,0170
0x171,u+0171,0171
0x172,u+0172,0172
0x173,u+0173,0173
0x174,u+0174,0174
0x175,u+0175,0175
0x176,u+0176,0176
0x177,u+0177,0177
0x178,u+0178,0178
0x179,u+0179,0179
0x17a,u+017a,017a
0x17b,u+017b,017b
0x17c,u+017c,017c
0x17d,u+017d,017d
0x17e,u+017e,017e
0x17f,u+017f,017f
0x180,u+0180,0180
0x181,u+0181,0181
0x186,u+0186,0186
0x18a,u+018a,018a
0x18d,u+018d,018d
0x18e,u+018e,018e
0x18f,u+018f,018f
0x190,u+0190,0190
0x192,u+0192,0192
0x193,u+0193,0193
0x194,u+0194,0194
0x196,u+0196,0196
0x197,u+0197,0197
0x19a,u+019a,019a
0x19b,u+019b,019b
0x19e,u+019e,019e
0x1a0,u+01a0,01a0
0x1a1,u+01a1,01a1
0x1af,u+01af,01af
0x1b0,u+01b0,01b0
0x1b1,u+01b1,01b1
